x,y
-10.0,327.79
-9.9,321.39
-9.8,314.48
-9.7,308.51
-9.6,302.86
-9.5,296.41
-9.4,290.48
-9.3,284.7
-9.2,278.33
-9.1,272.33
-9.0,266.98
-8.9,260.85
-8.8,256.01
-8.7,250.06
-8.6,244.2
-8.5,238.84
-8.4,233.67
-8.3,228.18
-8.2,222.66
-8.1,217.58
-8.0,212.67
-7.9,207.59
-7.8,202.02
-7.7,197.8
-7.6,192.1
-7.5,187.63
-7.4,183.24
-7.3,177.73
-7.2,173.73
-7.1,168.98
-7.0,164.17
-6.9,160.09
-6.8,155.43
-6.7,151.24
-6.6,146.32
-6.5,142.66
-6.4,138.1
-6.3,133.8
-6.2,130.41
-6.1,126.4
-6.0,122.65
-5.9,118.71
-5.8,114.62
-5.7,110.7
-5.6,107.29
-5.5,103.55
-5.4,100.4
-5.3,96.74
-5.2,92.91
-5.1,89.4
-5.0,86.29
-4.9,83.28
-4.8,80.17
-4.7,76.66
-4.6,73.94
-4.5,71.09
-4.4,67.57
-4.3,65.23
-4.2,62.67
-4.1,59.11
-4.0,56.76
-3.9,54.03
-3.8,52.0
-3.7,49.69
-3.6,47.15
-3.5,44.28
-3.4,42.47
-3.3,39.71
-3.2,37.74
-3.1,35.57
-3.0,33.01
-2.9,31.83
-2.8,29.2
-2.7,27.6
-2.6,26.2
-2.5,24.48
-2.4,22.48
-2.3,21.25
-2.2,19.08
-2.1,17.66
-2.0,16.52
-1.9,15.23
-1.8,13.58
-1.7,12.79
-1.6,11.25
-1.5,9.96
-1.4,8.59
-1.3,7.76
-1.2,6.65
-1.1,6.48
-1.0,5.24
-0.9,4.45
-0.8,3.87
-0.7,2.98
-0.6,2.48
-0.5,2.48
-0.4,1.55
-0.3,1.49
-0.2,1.04
-0.1,0.68
0.0,0.15
0.1,0.66
0.2,-0.07
0.3,0.27
0.4,0.41
0.5,0.67
0.6,0.26
0.7,0.86
0.8,1.04
0.9,1.4
1.0,2.0
1.1,2.76
1.2,2.83
1.3,3.3
1.4,4.49
1.5,4.44
1.6,6.07
1.7,6.62
1.8,7.72
1.9,8.85
2.0,9.26
2.1,10.47
2.2,11.4
2.3,13.02
2.4,13.81
2.5,15.79
2.6,17.17
2.7,18.26
2.8,20.37
2.9,21.18
3.0,23.61
3.1,25.04
3.2,26.84
3.3,28.54
3.4,30.68
3.5,32.27
3.6,34.25
3.7,36.3
3.8,38.77
3.9,41.17
4.0,43.64
4.1,45.52
4.2,48.37
4.3,50.08
4.4,53.27
4.5,55.35
4.6,58.11
4.7,61.01
4.8,63.33
4.9,66.42
5.0,69.67
5.1,72.83
5.2,75.12
5.3,78.59
5.4,81.9
5.5,85.26
5.6,88.27
5.7,91.47
5.8,95.05
5.9,98.13
6.0,102.12
6.1,105.98
6.2,108.99
6.3,113.3
6.4,116.18
6.5,119.96
6.6,124.07
6.7,127.89
6.8,132.04
6.9,136.72
7.0,140.39
7.1,144.24
7.2,149.18
7.3,152.87
7.4,157.28
7.5,161.94
7.6,166.86
7.7,171.26
7.8,175.8
7.9,180.9
8.0,184.87
8.1,189.65
8.2,195.2
8.3,199.9
8.4,204.47
8.5,209.61
8.6,215.06
8.7,220.46
8.8,225.95
8.9,231.19
9.0,236.76
9.1,242.19
9.2,247.6
9.3,252.77
9.4,258.92
9.5,263.8
9.6,269.85
9.7,275.31
9.8,281.4
9.9,287.13
